Station,Year,Month,Day,Daily Rainfall Total,Highest 30 Min Rainfall,Highest 60 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed,Max Wind Speed
Sembawang,1991,8,7,0,,,,28.7,33.1,24.1,5.1,
Sembawang,1991,8,8,2.4,,,,26.6,33,23.8,4.4,
Sembawang,1991,8,9,1.3,,,,27.1,32.9,23.6,8.5,
Sembawang,1991,8,10,0,,,,28,33.5,23,12.6,
Sembawang,1991,8,11,4.8,,,,27.3,31.6,23.4,8.6,
Sembawang,1991,8,12,0,,,,27.8,32.7,23.7,7.6,
Sembawang,1991,8,13,0,,,,27.8,32.3,24,7.7,
Sembawang,1991,8,14,0,,,,27.9,32.9,24,8.2,
Sembawang,1991,8,15,0.8,,,,28.2,32.9,24,10.1,
Sembawang,1991,8,16,15.5,,,,27,31.5,24.1,6,
Sembawang,1991,8,17,11,,,,26.8,31,22.8,6.9,
Sembawang,1991,8,18,10.1,,,,25.2,28.5,23.7,6.6,
Sembawang,1991,8,19,28.5,,,,25.6,29,22.7,7.6,
Sembawang,1991,8,20,0,,,,28,31.9,24.1,8.5,
Sembawang,1991,8,21,0,,,,28.5,33,23.7,10.1,
Sembawang,1991,8,22,32.1,,,,25.5,31.3,22.4,9.4,
Sembawang,1991,8,23,0.8,,,,27.3,32,22.4,8.3,
Sembawang,1991,8,24,0.4,,,,26.9,31.6,22.4,8.4,
Sembawang,1991,8,25,0,,,,28.2,32.4,24,11,
Sembawang,1991,8,26,53.4,,,,26.1,30.8,24,4.9,
Sembawang,1991,8,27,1.2,,,,26.6,31.3,23.5,8.3,
Sembawang,1991,8,28,0,,,,27.8,32.4,23.5,6.6,
Sembawang,1991,8,29,0,,,,28.6,31.9,24,7.9,
Sembawang,1991,8,30,18.1,,,,26.3,32.1,23.9,8.3,
Sembawang,1991,8,31,0,,,,27.5,32.7,22.6,6.6,
Sembawang,1991,9,1,0.7,,,,26.4,30,24.5,8.8,
Sembawang,1991,9,2,0,,,,26.3,30,24.2,8.4,
Sembawang,1991,9,3,3.5,,,,28.4,33.1,24,10,
Sembawang,1991,9,4,0,,,,26.3,29.9,23.3,7.4,
Sembawang,1991,9,5,0,,,,27.5,32.3,22.7,9.1,
Sembawang,1991,9,6,0,,,,27.8,32.6,23,10.3,
Sembawang,1991,9,7,0,,,,28.2,32.6,23,9,
Sembawang,1991,9,8,0,,,,28.3,33.2,23.5,10.8,
Sembawang,1991,9,9,0.4,,,,28.3,32.7,24.2,9.6,
Sembawang,1991,9,10,0,,,,27.5,32.2,22.8,7.3,
Sembawang,1991,9,11,0,,,,27,31.7,24.4,7.6,
Sembawang,1991,9,12,0,,,,27.5,31.9,23.5,8.4,
Sembawang,1991,9,13,0,,,,27.1,31,23.1,5.1,
Sembawang,1991,9,14,0,,,,27,32.4,22.1,6.7,
