Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),1981,12,22,0,,,,,,,,
Jurong (West),1981,12,23,0,,,,,,,,
Jurong (West),1981,12,24,0,,,,,,,,
Jurong (West),1981,12,25,0,,,,,,,,
Jurong (West),1981,12,26,0,,,,,,,,
Jurong (West),1981,12,27,0,,,,,,,,
Jurong (West),1981,12,28,2.7,,,,,,,,
Jurong (West),1981,12,29,0,,,,,,,,
Jurong (West),1981,12,30,19.8,,,,,,,,
Jurong (West),1981,12,31,1.1,,,,,,,,
Jurong (West),1982,1,1,17.2,,,,,,,,
Jurong (West),1982,1,2,4.9,,,,,,,,
Jurong (West),1982,1,3,12.9,,,,,,,,
Jurong (West),1982,1,4,6.5,,,,,,,,
Jurong (West),1982,1,5,0.8,,,,,,,,
Jurong (West),1982,1,6,18.1,,,,,,,,
Jurong (West),1982,1,7,0.6,,,,,,,,
Jurong (West),1982,1,8,8.6,,,,,,,,
Jurong (West),1982,1,9,0,,,,,,,,
Jurong (West),1982,1,10,1.1,,,,,,,,
Jurong (West),1982,1,11,0,,,,,,,,
Jurong (West),1982,1,12,2.3,,,,,,,,
Jurong (West),1982,1,13,0,,,,,,,,
Jurong (West),1982,1,14,0.1,,,,,,,,
Jurong (West),1982,1,15,0,,,,,,,,
Jurong (West),1982,1,16,0,,,,,,,,
Jurong (West),1982,1,17,0,,,,,,,,
Jurong (West),1982,1,18,0,,,,,,,,
Jurong (West),1982,1,19,0,,,,,,,,
Jurong (West),1982,1,20,0,,,,,,,,
Jurong (West),1982,1,21,0,,,,,,,,
Jurong (West),1982,1,22,0,,,,,,,,
Jurong (West),1982,1,23,0,,,,,,,,
Jurong (West),1982,1,24,2.6,,,,,,,,
Jurong (West),1982,1,25,0,,,,,,,,
Jurong (West),1982,1,26,0,,,,,,,,
Jurong (West),1982,1,27,0,,,,,,,,
Jurong (West),1982,1,28,0,,,,,,,,
Jurong (West),1982,1,29,0,,,,,,,,
Jurong (West),1982,1,30,0,,,,,,,,
Jurong (West),1982,1,31,4.4,,,,,,,,
Jurong (West),1982,2,1,1,,,,,,,,
Jurong (West),1982,2,2,0,,,,,,,,
Jurong (West),1982,2,3,1.2,,,,,,,,
Jurong (West),1982,2,4,0,,,,,,,,
Jurong (West),1982,2,5,0,,,,,,,,
Jurong (West),1982,2,6,0,,,,,,,,
Jurong (West),1982,2,7,0,,,,,,,,
Jurong (West),1982,2,8,10.1,,,,,,,,
Jurong (West),1982,2,9,0,,,,,,,,
Jurong (West),1982,2,10,0,,,,,,,,
Jurong (West),1982,2,11,0,,,,,,,,
Jurong (West),1982,2,12,0,,,,,,,,
Jurong (West),1982,2,13,11.3,,,,,,,,
Jurong (West),1982,2,14,0,,,,,,,,
Jurong (West),1982,2,15,0,,,,,,,,
Jurong (West),1982,2,16,0.1,,,,,,,,
